2006年11月9号 2006年11月9日
《劳山道士》 《崂山道士》
《十曰谈》 《十日谈》
《博奕论》 《博弈论》
《叁国演义》 《三国演义》
《史记.礼书》 《史记·礼书》
《图兰多》 《图兰朵》
《基业常青》 《基业长青》
《基度山伯爵》 《基督山伯爵》
《大般苦经》 《大般若经》
《奥塞罗》 《奥赛罗》
《孔已己》 《孔乙己》
《孟子·膝文公下》 《孟子·滕文公下》
《学说汇篡》 《学说汇纂》
《宋史。烈女传》 《宋史·列女传》
《忆秦娥，娄山关》 《忆秦娥·娄山关》
《思旧斌》 《思旧赋》
《成都市居住在》 《成都市居住证》
《戒子书》 《诫子书》
《打鱼杀家》 《打渔杀家》
《故争与和平》 《战争与和平》
《断臂山》 《断背山》
《明月篇》：“忧喜更接近，乐极还自悲。” 《明月篇》：“忧喜更相接，乐极还自悲。”
《晋书．杨轲传》 《晋书·杨轲传》
《暴风聚雨》 《暴风骤雨》
《朝华夕拾》 《朝花夕拾》
《本草刚目》 《本草纲目》
《李连英》 《李莲英》
《柔密欧与幽丽叶》 《罗密欧与朱丽叶》
《柔密欧和幽莉叶》 《罗密欧和朱丽叶》
《格言联壁》 《格言联璧》
《梦娜丽莎》 《蒙娜丽莎》
《殷虚卜辞综述》 《殷墟卜辞综述》
《毕来生》 《毕业生》
《水注经》 《水经注》
《水浒传》第五十回：“小妹一时粗卣，年幼不省人事，误犯威颜，今者被擒，望乞将军宽恕。” 《水浒传》第五十回：“小妹一时粗卤，年幼不省人事，误犯威颜，今者被擒，望乞将军宽恕。”
《汜胜之书》 《氾胜之书》
《沙家滨》 《沙家浜》
《浦江吴氏中馈录》里 浦江《吴氏中馈录》里
《浮世德》 《浮士德》
《浮土德》 《浮士德》
《液化天然气汽车改装技求要求》 《液化天然气汽车改装技术要求》
《湖南长沙景岺禅师》 《湖南长沙景岑禅师》
《潇乡文学》 《萧乡文学》
《爱珲条约》 《瑷珲条约》
《父与于》 《父与子》
《白虎通议》 《白虎通义》
《祁连文学杂志》特约作家 《祁连文学》杂志特约作家
《神雕英雄传》 《射雕英雄传》
《红搂梦》 《红楼梦》
《红高梁》 《红高粱》
《维娜斯与阿堂尼斯》 《维纳斯与阿堂尼斯》
《膝王阁序》 《滕王阁序》
《自然景像》 《自然景象》
《致像树》 《致橡树》
《般若波罗密多心经》 《般若波罗蜜多心经》
《苟子·大略》 《荀子·大略》
《范蠢兵法》 《范蠡兵法》
《诗歌翰海》 《诗歌瀚海》
《诗经·小雅·正月》：“谓天盖高，不敢不冋 《诗经·小雅·正月》：“谓天盖高，不敢不局
《谈段棋瑞》 《谈段祺瑞》
《负喧续话》 《负暄续话》
《资本沦》 《资本论》
《资治通监》 《资治通鉴》
《邓小平丈选》 《邓小平文选》
《阿毗达磨俱舍论》 《阿毗达摩俱舍论》
《马尔他之鹰》 《马耳他之鹰》
《骆驼样子》 《骆驼祥子》
《鹧鸪天》一阙以寄哀 《鹧鸪天》一阕以寄哀
【口角伶俐】义同“口角伶俐” 【口角伶俐】义同“口齿伶俐”
【暴殄天物】暴：耗损，糟塌；殄：灭尽；天物：大自然存在的万物 【暴殄天物】暴：耗损，糟蹋；殄：灭尽；天物：大自然存在的万物
【白骨如山】白骨：尸骨；如山：像山一样多。形容尸骨很多 【白骨如山】白骨：尸骨；如山：像山一样高。形容尸骨很多
一~二 一至二
一一例举 一一列举
一丁至徽 一丁至微
一万快 一万块
一万无钱 一万元钱
一上弌下 一上一下
一下了就 一下子就
一下只 一下子
一下子仆倒 一下子扑倒
一下子急子 一下子急了
一下孑扑倒 一下子扑倒
一下孑被 一下子被
一下字 一下子
一不做，二木休 一不做，二不休
一不到胃 一步到位
一且了然 一目了然
一且出现 一旦出现
一且十行 一目十行
一丕做，二丕休 一不做，二不休
一丘之豹 一丘之貉
一丘之貂 一丘之貉
一丘之骆 一丘之貉
一丘之鹤 一丘之貉
一丝不够 一丝不苟
一丝不拘 一丝不苟
一丝不桂 一丝不挂
一丝不荀 一丝不苟
一丝丕乱 一丝不乱
一丝両气 一丝两气
一丝唡气 一丝两气
一丝弌毫 一丝一毫
一丝弌缕 一丝一缕
一丝惜愕 一丝错愕
一丝暧意 一丝暖意
一丝木乱 一丝不乱
一丝木挂 一丝不挂
一丝木苟 一丝不苟
一丝涙气 一丝戾气
一丝瑕庇 一丝瑕疵
一丝而气 一丝两气
一丝骄做 一丝骄傲
一两匹狐儿 一两只狐狸
一两名话 一两句话
一两声乌叫 一两声鸟叫
一两黑色面包车 一辆黑色面包车
一个东两 一个东西
一个个听的都傻眼了 一个个听得都傻眼了
一个个窜上台 一个个蹿上台
一个二净 一干二净
一个人么 一个人吗
一个人也吧 一个人也罢
一个侦查员 一个侦察员
一个健步冲上 一个箭步冲上
一个健步跨过去 一个箭步跨过去
一个兔子 一只兔子
一个分知 一个分支
一个劲儿的催促 一个劲儿地催促
一个劲儿的说 一个劲儿地说
一个和气脸 一张和气脸
一个哑迷 一个哑谜
一个唬头 一个噱头
一个坏节 一个环节
一个多意的词 一个多义的词
一个大公鸡 一只大公鸡
一个大宇 一个大字
一个子弹 一颗子弹
一个学待 一个学徒
一个学校 一所学校
一个孩于 一个孩子
一个宇也不 一个字也不
一个对角线 一条对角线
一个尺子 一把尺子
一个山峰 一座山峰
一个巴掌拍木响 一个巴掌拍不响
一个帖孑 一个帖子
一个床 一张床
一个彩信 一条彩信
一个扇子 一把扇子
一个摸样 一个模样
一个支票 一张支票
一个方孑 一个方子
一个时间内 一段时间内
一个明睸的清晨 一个明媚的清晨
一个是内钢芯和一个外面钢茅 一个是内钢芯和一个外面钢锚
一个月半 一个半月
一个月多前 一个多月前
一个月就会有150万柱开花株以上 一个月就会有150万株开花株以上
一个有一个 一个又一个
一个枣 一颗枣
一个树 一棵树
一个桌子 一张桌子
一个楼房 一座楼房
一个模于 一个模子
一个橡皮 一块橡皮
一个毛巾 一条毛巾
一个没拉下 一个没落下
一个激凌 一个激灵
一个瓢虫 一只瓢虫
一个电线杆 一根电线杆
一个电脑 一台电脑
一个电视 一台电视
一个男孑 一个男子
一个疑问困绕着我 一个疑问困扰着我
一个眼风 一个眼色
一个短信 一条短信
一个空挡 一个空当
一个空气质量检测点 一个空气质量监测点
一个窗户 一扇窗户
一个笑和尚 一个小和尚
一个红旗 一面红旗
一个绳 一根绳
一个维修场 一个维修厂
一个老妇人抖抖索索出来 一个老妇人哆哆嗦嗦出来
一个老鹰 一只老鹰
一个老鼠屎 一粒老鼠屎
一个萝卜弌个坑 一个萝卜一个坑
一个蚂蚁似地小市民 一个蚂蚁似的小市民
一个被称为回纥的部族 一个被称作回纥的部族
一个西方的大教堂的立梁上 一个西方的大教堂的立面上
一个贴子 一个帖子
一个跄踉 一个踉跄
一个踉斗 一个跟斗
一个身影瑀瑀而行 一个身影踽踽而行
一个车厢 一节车厢
一个铁锹 一把铁锹
一个问团 一个问题
一个闲遐时间 一个闲暇时间
一个间题 一个问题
一个雨伞 一把雨伞
一个鞋 一只鞋
一个饱呃 一个饱嗝
一个马路 一条马路
一个驴 一头驴
一个鸟 一只鸟
一个黄牛 一头黄牛
一个鼷鼠 一只鼷鼠
一丸九一年 一九九一年
一举両全 一举两全
一举两仝 一举两全
一举俩全 一举两全
一举唡全 一举两全
一举弌动 一举一动
一举面灭 一举而灭
一之手 一只手
一乎电影插曲 一首电影插曲
一九一人年 一九一八年
一九一六年开手 一九一六年开始
一九七人年 一九七八年
一九七零年 一九七〇年
一九三一年顷 一九三一年前
一九三三月 一九三三年
一九三人年 一九三八年
一九三四月 一九三四年
一九九0年 一九九〇年
一九九人年 一九九八年
一九九零年 一九九〇年
一九二人年 一九二八年
一九五0年 一九五〇年
一九五人年 一九五八年
一九五零年 一九五〇年
一九人一年 一九八一年
一九人七年 一九八七年
一九人三年 一九八三年
一九人九年 一九八九年
一九人二年 一九八二年
一九人五年 一九八五年
一九人人年 一九八八年
一九人六年 一九八六年
一九人四年 一九八四年
一九人零年 一九八零年
一九八0 一九八零
一九八O年 一九八〇年
一九八O年元月 一九八〇年元月
一九八人年 一九八八年
一九八零年 一九八〇年
一九六人年 一九六八年
一九叁一年 一九三一年
一九叁七年 一九三七年
一九叁三年 一九三三年
一九叁九年 一九三九年
一九叁二年 一九三二年
一九叁五年 一九三五年
一九叁八年 一九三八年
一九叁六年 一九三六年
一九叁叁年 一九三三年
一九叁四年 一九三四年
一九四0年 一九四〇年
一九四人年 一九四八年
一九零人年 一九零八年
一九０八年 一九零八年
一事圥成 一事无成
一事天成 一事无成
一事尢成 一事无成
一二·八 一·二八
一于二净 一干二净
一于奉陪 乐于奉陪
一于混战 一场混战
一亓就谢 一开就谢
一五五0年 一五五〇年
一些东东 一些东西
一些事非 一些是非
一些列举动 一系列举动
一些列事件 一系列事件
一些列措施 一系列措施
一些列问题 一系列问题
一些豆夹 一些豆荚
一交跌倒 一跤跌倒
一人做事弌人当 一人做事一人当
一人男人 一个男人
一亼之下，万亼之上 一人之下，万人之上
一亼之交 一人之交
一亼做事一亼当 一人做事一人当
一亼拼命，万夫莫当 一人拼命，万夫莫当
一什空白 一片空白
一介木取 一介不取
一仍其日 一仍其旧
一仍日贯 一仍旧贯
一仍旧惯 一仍旧贯
一付不到黄河心不死 一副不到黄河心不死
一付不知所措 一副不知所措
一付中药 一服中药
一付双节棍 一副双节棍
一付呆板相 一副呆板相
一付嘴脸 一副嘴脸
一付墨镜 一副墨镜
一付大亨派头 一副大亨派头
一付奴才像 一副奴才相
一付好嗓子 一副好嗓子
一付好牌 一副好牌
一付学者派头 一副学者派头
一付异相 一副异相
一付志高气昂 一副趾高气昂
一付扑克 一副扑克
一付担架 一副担架
一付春风十里的模样 一副春风十里的模样
一付有话要说 一副有话要说
一付望远镜 一副望远镜
一付枷锁 一副枷锁
一付棺材 一副棺材
一付死相 一副死相
一付沙瓤大嗓门 一副沙瓤大嗓门
一付满不在乎 一副满不在乎
一付牌 一副牌
一付皮囊 一副皮囊
一付盔甲 一副盔甲
一付眼镜 一副眼镜
一付碗筷 一副碗筷
一付笑脸 一副笑脸
一付脚镣 一副脚镣
一付臭牌 一副臭牌
一付苦恼相 一副苦恼相
一付苦瓜脸 一副苦瓜脸
一付药剂 一副药剂
一付蛇骨 一副蛇骨
一付表情 一副表情
一付见过大世面 一副见过大世面
一付让人猜疑的表情 一副让人猜疑的表情
一付铁胆 一副铁胆
一付面具 一副面具
一付面孔 一副面孔
一付面黄肌瘦 一副面黄肌瘦
一付饱经沧桑的样子 一副饱经沧桑的样子
一付魁梧体格 一副魁梧体格
一代兲骄 一代天骄
一代叵人 一代巨人
一代濡宗 一代儒宗
一以惯之 一以贯之
一们预言家 一位预言家
一件件凉衣服 一件件晾衣服
一件例子 一个例子
一件决定 一个决定
一件动作 一个动作
一件小房子 一间小房子
一件累丝衣料 一件蕾丝衣料
一件裤子 一条裤子
一份为我而活，一份为他们而话 一分为我而活，一分为他们而活
一份信 一封信
一份收获 一分收获
一份耕耘 一分耕耘
一伐儒宗 一代儒宗
一伐冠冕 一代冠冕
一伐天骄 一代天骄
一伐宗臣 一代宗臣
一伐文宗 一代文宗
一伐楷模 一代楷模
一伐风流 一代风流
一会儿功夫 一会儿工夫
一会儿功夫到达 一会儿工夫到达
一会儿睛 一会儿晴
一会几就行 一会儿就行
一但现有机砖供应 一旦现有机砖供应
一但生了孩子 一旦生了孩子
一但被缠上 一旦被缠上
一位女上 一位女士
一位歹徒 一个歹徒
一位男名星 一位男明星
一位穷入 一位穷人
一位窃贼 一个窃贼
一佛出世，二佛生兲 一佛出世，二佛生天
一佯 一样
一促而就 一蹴而就
一促而就 一促而蹴
一俑水 一桶水
一俩马车 一辆马车
一倡亖叹 一倡三叹
一倡而三叹 壹倡而三叹
一值在 一直在
一偏之贝 一偏之见
一做批评家 一个批评家
一傍欣赏 一旁欣赏
一元正 一元整
一入之交 一人之交
一共损大 一共损失
一兲到晚 一天到晚
一兲星斗 一天星斗
一冂心思 一门心思
一冢一计 一家一计
一冢之主 一家之主
一冢之学 一家之学
一冢之言 一家之言
一冢老小 一家老小
一几之力 一己之力
一凡苦心 一番苦心
一凳一凳错布 一磴一磴错布
一击闷棍 一记闷棍
一刀一抢 一刀一枪
一刀両断 一刀两断
一刀両段 一刀两段
一刀剌开 一刀刺开
一刀割断事非根 一刀割断是非根
一刀唡断 一刀两断
一刀唡段 一刀两段
一刀弌枪 一刀一枪
一刀拥死 一刀捅死
一分一亳 一分一毫
一分一钞 一分一秒
一分功劳 一份功劳
一分大礼 一份大礼
一分弌毫 一分一毫
一分文件 一份文件
一分档案 一份档案
一分电报 一份电报
一分礼 一份礼
一分而二 一分为二
一分行情一分贷 一分行情一分货
一分行情弌分货 一分行情一分货
一切又回复了常态 一切又恢复了常态
一切就序 一切就绪
一切水份 一切水分
一切言动 一切行动
一切部是 一切都是
一切部没有 一切都没有
一切部遗忘 一切都遗忘
一刚双责 一岗双责
一到亮光 一道亮光
一到药 一剂药
一到青光 一道青光
一刻功夫 一刻工夫
一剑剌出 一剑刺出
一剑封吼 一剑封喉
一剑终情 一见钟情
一剖土 一抔土
一副中药 一服中药
一副五彩的画 一幅五彩的画
一副副美丽动人的画卷 一幅幅美丽动人的画卷
一副国画 一幅国画
一副图 一幅图
一副山水图 一幅山水图
一副山水画 一幅山水画
一副工笔画 一幅工笔画
一副幅写意山水画 一幅幅写意山水画
一副景象 一幅景象
一副水墨画 一幅水墨画
一副油画 一幅油画
一副清浅的水彩墨画 一幅清浅的水彩墨画
一副漫画 一幅漫画
一副照片 一幅照片
一副版画 一幅版画
一副甘胆 一副肝胆
一副画卷 一幅画卷
一副画吸引了记者 一幅画吸引了记者
一副眼睛 一副眼镜
一副精致的画 一幅精致的画
一副美丽的田园画卷 一幅美丽的田园画卷
一副良药 一服良药
一副虎骨架孑 一副虎骨架子
一副醉人的画面 一幅醉人的画面
一副风景画 一幅风景画
一劂不振 一蹶不振
一力一枪 一刀一枪
一力二断 一刀两断
一力二段 一刀两段
一务裤子 一条裤子
一动不功 一动不动
一动不如弌静 一动不如一静
一动也下动 一动也不动
一动几绝 一恸几绝
一动木动 一动不动
一动木如一静 一动不如一静
一动末动 一动不动
一劳永易 逸劳永易
一劳永易 一劳永逸
一包姻 一包烟
一匡兲下 一匡天下
一匹小狗 一只小狗
一匹狗 一条狗
一匹鹿 一只鹿
一匹麻雀 一只麻雀
一十二净 一干二净
一千二净 一干二净
一千元美全 一千元美金
一千多快 一千多块
一升始 一开始
一半新香 一瓣心香
一半相妨 一半相仿
一却正常 一切正常
一却都像 一切都像
一厅可乐 一听可乐
一厅啤酒 一听啤酒
一厥不振 一蹶不振
一去不复反 一去不复返
一去木复返 一去不复返
一又脚 一双脚
一双両好 一双两好
一双两奸 一双两好
一双双大眼晴 一双双大眼睛
一双唡好 一双两好
一双墨镜 一副墨镜
一双木展 一双木屐
一双黑黑的眼晴 一双黑黑的眼睛
一发而木可收 一发而不可收
一发面不可收 一发而不可收
一叠信 一沓信
一叠剧本 一沓剧本
一叠合同 一沓合同
一叠小菜 一碟小菜
一叠报纸 一沓报纸
一叠文件 一沓文件
一叠照片 一沓照片
一叠现金 一沓现金
一叠纸条 一沓纸条
一叠连声 一迭连声
一叠银票 一沓银票
一口吃成胖予 一口吃成胖子
一口吃成胖孑 一口吃成胖子
一口吃成胖孒 一口吃成胖子
一口吃成胖孓 一口吃成胖子
一口同声 异口同声
一口吸尽西江氺 一口吸尽西江水
一口囙绝 一口回绝
一口气别在胸中 一口气憋在胸中
一口洒 一口酒
一口荼 一口茶
一口起 一口气
一口问气 一口闷气
一古恼儿 一股脑儿
一古脑儿 一股脑儿
一句乡音就能分辩出 一句乡音就能分辨出
一句尸体 一具尸体
一句活来 一句话来
一句话尽够 一句话仅够
一只军队 一支军队
一只吊锅 一口吊锅
一只哆嗦 一直哆嗦
一只妙笔 一支妙笔
一只字 一个字
一只小京吧 一只小京巴
一只床 一张床
一只彩笔 一支彩笔
一只房间 一个房间
一只手捏匾筒口 一只手捏扁筒口
一只挥洒的笔 一支挥洒的笔
一只曲子 一支曲子
一只枪 一支枪
一只烟 一支烟
一只牙齿 一颗牙齿
一只狡免 一只狡兔
一只猎枪 一支猎枪
一只眼眼 一只眼睛
一只眼瞇缝着 一只眼眯缝着
一只竹笛 一支竹笛
一只笑容可掬的马 一匹笑容可掬的马
一只箭 一支箭
一只素笔 一支素笔
一只红鲤越出了水面 一条红鲤跃出了水面
一只舞 一支舞
一只英文歌 一首英文歌
一只蚊子都不许给我放出来 一只蚊子都不许给我放进来
一只蛇 一条蛇
一只蜡烛 一支蜡烛
一只试管 一支试管
一只近万人的红木大军 一支近万人的红木大军
一只野免 一只野兔
一只野兔扒在石背上 一只野兔趴在石背上
一只钢笔 一支钢笔
一只队伍 一支队伍
一只香蕉皮 一个香蕉皮
一只马 一匹马
一只驴子 一头驴子
一只鱼 一条鱼
一只鱼杆 一支鱼竿
一只鸟震翅怪叫 一只鸟振翅怪叫
一只麻花 一根麻花
一只龙 一条龙
一台柴油发动机的轰鸣声 一台柴油发电机的轰鸣声
一台自行车 一辆自行车
一台车 一辆车
一叶弊目 一叶蔽目
一叶片舟 一叶扁舟
一叶闲目 一叶蔽目
一叶障且，不见泰山 一叶障目，不见泰山
一叶障目，木见泰山 一叶障目，不见泰山
一吋白背景照片 一寸白背景照片
一同人内 一同入内
一同房子 一栋房子
一同江山 一统江山
一吧刀 一把刀
一听就夹火 一听就来火
一呜惊人 一鸣惊人
一命呜乎 一命呜呼
一命鸣呼 一命呜呼
一咕脑 一股脑
一咳嗦就尿裤子 一咳嗽就尿裤子
一咸不变 一成不变
一哄向散 一哄而散
一哄面散 一哄而散
一哄面起 一哄而起
一哄面逃 一哄而逃
一哧一滑 一跐一滑
一唱而三叹 壹倡而三叹
一啪桌子 一拍桌子
一喏千金 一诺千金
一囗吃成胖子 一口吃成胖子
一囗同音 一口同音
一囗吸尽西江水 一口吸尽西江水
一囗咬定 一口咬定
一囗回绝 一口回绝
一囗答应 一口答应
一囗缸 一口缸
一囙生，二囙熟 一回生，二回熟
一回眼证 一回验证
一团槽 一团糟
一团绳钱 一团绳线
一团遭 一团糟
一困和气 一团和气
一国両制 一国两制
一国亖公 一国三公
一国唡制 一国两制
一圈又一圆 一圈又一圈
一圥可取 一无可取
一圥所取 一无所取
一圥所好 一无所好
一圥所成 一无所成
一圥所有 一无所有
一圥所求 一无所求
一圥所知 一无所知
一圥所能 一无所能
一圥所见 一无所见
一圥所长 一无所长
一圥长物 一无长物
一在告诉他 一再告诉他
一场大事 一件大事
一场大玻 一场大病
一场心冠降人间 一场新冠降人间
一场故事 一段故事
一场糊涂 一塌糊涂
一场虚谅 一场虚惊
一坏套一坏 一环套一环
一坏套一环 一环套一环
一坐坟前 一座坟前
一坐小土冈 一座小土冈
一坐尽谅 一坐尽惊
一坐新坟 一座新坟
一坐高楼 一座高楼
一块于活 一块干活
一块像皮 一块橡皮
一块卵厂 一块卵石
一块银市 一块银币
一培黄土 一抔黄土
一堆拉基 一堆垃圾
一堆血 一摊血
一堵壁 一堵墙
一声下令 一声令下
一声不啃 一声不吭
一声不晌 一声不响
一声冷汗 一身冷汗
一声剧响 一声巨响
一声勺响 一声哨响
一声华服 一身华服
一声吹呼 一声欢呼
一声哈喝 一声吆喝
一声寒气 一身寒气
一声巨声 一声巨响
一声巨晌 一声巨响
一声招唤 一声召唤
一声木吭 一声不吭
一声木响 一声不响
一声汉息 一声叹息
一声爆喝 一声暴喝
一声轰笑 一声哄笑
一声轻喚 一声轻唤
一声轻忽 一声轻呼
一声锐叫 一声尖叫
一声高吭 一声高亢
一多花 一朵花
一夜末归 一夜未归
一夜爆富 一夜暴富
一夜知秋 一叶知秋
一夜都没合限 一夜都没合眼
一大一少 一大一小
一大叠人民币 一大沓人民币
一大叠资料 一大沓资料
一大堆上豆 一大堆土豆
一大戳 一大截
一大推 一大堆
一大撂 一大摞
一大柬花 一大束花
一大波本地产的生猛海鲜 一大拨本地产的生猛海鲜
一大滩油 一大摊油
一大滩血 一大摊血
一大滩鲜血 一大摊鲜血
一大笔饯 一大笔钱
一大迭钞票 一大叠钞票
一大遍 一大片
一大陀 一大坨
一天不如了天 一天不如一天
一天之勇 一夫之勇
一天之用 一夫之用
一天只内 一天之内
一天可取 一无可取
一天所取 一无所取
一天所好 一无所好
一天所成 一无所成
一天所有 一无所有
一天所求 一无所求
一天所知 一无所知
一天所能 一无所能
一天所见 一无所见
一天所长 一无所长
一天长物 一无长物
一太乐事 一大乐事
一太早 一大早
一夫之甪 一夫之用
一夫当关，万夫莫亓 一夫当关，万夫莫开
一夫当关，万夫莫幵 一夫当关，万夫莫开
一夫挡关万夫莫开 一夫当关万夫莫开
一夭一天 一天一天
一夭二十四小时 一天二十四小时
一夲书也写不完 一本书也写不完
一头发长 一头长发
一头望发 一头头发
一头牡牛 一头牦牛
一头老鼠 一只老鼠
一头蚂蚁 一只蚂蚁
一头裁倒 一头栽倒
一头裁进 一头栽进
一头载入 一头栽入
一头载到 一头栽到
一头载进 一头栽进
一头雾氺 一头雾水
一头鹅 一只鹅
一头齐而短发 一头齐耳短发
一夹一往 一来一往
一夹二去 一来二去
一奕者喊着 一弈者喊着
一套说词 一套说辞
一如继往 一如既往
一子二净 一干二净
一子人犯 一干人犯
一孒百孒 一了百了
一孒百当 一了百当
一孔之贝 一孔之见
一字不拉 一字不落
一字不露 一字不漏
一字丕提 一字不提
一字千斤 一字千金
一字弌句 一字一句
一字弌板 一字一板
一字弌珠 一字一珠
一字木差 一字不差
一字木提 一字不提
一字木漏 一字不漏
一字木苟 一字不苟
一字木识 一字不识
一宇一句 一字一句
一宇一板 一字一板
一宇一泪 一字一泪
一宇一珠 一字一珠
一宇不差 一字不差
一宇不提 一字不提
一宇不苟 一字不苟
一宇不落 一字不落
一宇不识 一字不识
一宇之差 一字之差
一宇之师 一字之师
一宇千金 一字千金
一宇褒贬 一字褒贬
一宇长城 一字长城
一定头盔 一顶头盔
一定层度上 一定程度上
一定很牵记 一定很牵挂
一定恨忙 一定很忙
一定木易 一定不易
一宜写到 一直写到
一客丕烦二主 一客不烦二主
一客木烦二主 一客不烦二主
一宫半职 一官半职
一家在村乐 一家在村东
一家弌计 一家一计
一家洒店 一家酒店
一家老少 一家老小
一寇会 一定会
一对人马 一队人马
一对勾子 一对钩子
一对壁人 一对璧人
一对好脚 一双好脚
一对废铁 一堆废铁
一对白壁 一对白璧
一封新笔信 一封亲笔信
一尊惨案 一桩惨案
一尊雕徐 一尊雕塑
一小蝶 一小碟
一尘不变 一成不变
一尘不柒 一尘不染
一尘木染 一尘不染
一尢可取 一无可取
一尢所取 一无所取
一尢所好 一无所好
一尢所成 一无所成
一尢所有 一无所有
一尢所求 一无所求
一尢所知 一无所知
一尢所能 一无所能
一尢所见 一无所见
一尢所长 一无所长
一尢长物 一无长物
一屁股做下 一屁股坐下
一层不变 一成不变
一层腊 一层蜡
一层阴形 一层阴影
一屈股 一屁股
一屑不顾 不屑一顾
一展伸手 一展身手
一展手脚 一展拳脚
一屡曙光 一缕曙光
一屡阳光 一缕阳光
一屡青烟 一缕青烟
一山一氺 一山一水
一山丕藏二虎 一山不藏二虎
一山弌水 一山一水
一山木藏二虎 一山不藏二虎
一岁亖迁 一岁三迁
一川风冃 一川风月
一己之贝 一己之见
一已之力 一己之力
一已之私 一己之私
一已之贝 一己之见
一巴掌煽 一巴掌扇
一帆风雨路三干 一帆风雨路三千
一带魔王 一代魔王
一幅光景 一副光景
一幅凶神恶煞的表情 一副凶神恶煞的表情
一幅可怜样 一副可怜样
一幅可怜相 一副可怜相
一幅好皮囊 一副好皮囊
一幅宽边墨镜 一副宽边墨镜
一幅对联 一副对联
一幅德行 一副德行
一幅手套 一副手套
一幅扑克 一副扑克
一幅担架 一副担架
一幅架势 一副架势
一幅楹联 一副楹联
一幅模样 一副模样
一幅热心肠 一副热心肠
一幅皮手套 一副皮手套
一幅眼镜 一副眼镜
一幅诗人的面孔 一副诗人的面孔
一幅近视眼镜 一副近视眼镜
一幅重担 一副重担
一幅面孔 一副面孔
一幅骨头 一副骨头
一幌是去年 一晃是去年
一幢房孑 一幢房子
一干元钱 一千元钱
一平生活 一起生活
一年4季 一年四季
一年之季在于春 一年之计在于春
一年之计茬于春 一年之计在于春
一年之际在于春 一年之计在于春
一年之饥在于春 一年之计在于春
一年半戴 一年半载
一年半栽 一年半载
一年吃蛇咬，三年怕革索 一年吃蛇咬，三年怕草索
一年吃蛇咬，亖年怕草索 一年吃蛇咬，三年怕草索
一年四委 一年四季
一年四委不上山 一年四季不上山
一年多年 一年多来
一年好景君需记 一年好景君须记
一年弌度 一年一度
一年种两茬西瓜，早春一查，夏中一查 一年种两茬西瓜，早春一茬，夏中一茬
一年纪 一年级
一年这后 一年之后
一年问 一年间
一幵就谢 一开就谢
一庄好姻缘 一桩好姻缘
一序列 一系列
一应俱仝 一应俱全
一应具全 一应俱全
一座半碑 一座丰碑
一座地官 一座地宫
一座官殿 一座宫殿
一座庙字 一座庙宇
一开始这个心很关键 一开始这个芯很关键
一式一祥 一式一样
一式两分 一式两份
一式弌样 一式一样
一弘清泉 一泓清泉
一张一吸 一张一翕
一张一歙 一张一合
一张一驰 一张一弛
一张入脸 一张人脸
一张宇条 一张字条
一张登子 一张凳子
一张白张 一张白纸
一张簿纸 一张薄纸
一张请贴 一张请帖
一张邮片 一张邮票
一弯死水全无浪 一湾死水全无浪
一弯清水 一湾清水
一弯清泉 一湾清泉
一归而光 一扫而光
一当有 一旦有
一往圥前 一往无前
一往尢前 一往无前
